row,col,geo,clim,pH,EMF,EMF.plant,EMF.soil,plant.repl,plant.rich,plant.sor,bac.repl,bac.rich,bac.sor,bac.BC,fun.repl,fun.rich,fun.sor,fun.BC
Site39,Site1,637.3435046,2.114515808,0.122730667,3.720533743,2.201090336,2.999595417,0.7,0.1,0.8,0.727959698,0.017438481,0.745398179,0.755727273,0.423335621,0.105010295,0.528345916,0.658406504
Site40,Site1,694.9890818,1.869241359,0.049614525,4.772578872,4.14780334,2.360770328,0.736842105,0.052631579,0.789473684,0.655272364,0.049675162,0.704947526,0.675636364,0.364594001,0.177761522,0.542355523,0.747666667
Site41,Site1,726.3578724,2.0166065,0.255906497,4.001313915,3.477819624,1.978707586,0.777777778,0,0.777777778,0.682711508,0.103730951,0.786442459,0.804727273,0.374071959,0.149343232,0.523415191,0.666105691
Site42,Site1,740.4823398,1.686505778,0.182790355,5.510476243,4.145641865,3.630289513,0.384615385,0.307692308,0.692307692,0.668237705,0.07602459,0.744262295,0.769727273,0.353064904,0.209435096,0.5625,0.679788618
Site43,Site1,782.4584782,1.685874665,0.135787121,5.37416912,4.170623988,3.389334636,0.666666667,0.142857143,0.80952381,0.676826807,0.059951554,0.736778361,0.745818182,0.352975496,0.174154026,0.527129522,0.660707317
Site44,Site1,814.621725,1.449604179,0.049614525,4.934644357,4.194975877,2.598632778,0.583333333,0.25,0.833333333,0.676340818,0.029708795,0.706049613,0.693181818,0.361705141,0.140065147,0.501770287,0.623455285
Site45,Site1,810.7479319,1.933814599,0.736384003,4.705272476,4.002271776,2.474148279,0.75,0.125,0.875,0.736186294,0.07261771,0.808804004,0.831363636,0.387476662,0.156110872,0.543587534,0.677658537
Site46,Site1,852.6807522,1.334583949,0.33163393,4.918579027,4.385228866,2.227596786,0.608695652,0.217391304,0.826086957,0.698809066,0.008643872,0.707452939,0.676909091,0.366103652,0.162119244,0.528222896,0.603333333
Site47,Site1,887.4542227,1.4407948,0.305521022,4.614403428,4.334629331,1.582310828,0.705882353,0.058823529,0.764705882,0.664523905,0.054841302,0.719365207,0.706181818,0.383972326,0.160276737,0.544249063,0.707471545
Site48,Site1,898.597543,1.955912092,1.613777708,3.516060764,2.293561578,2.665006301,0.583333333,0.25,0.833333333,0.673994193,0.088967234,0.762961427,0.781363636,0.41534428,0.110804471,0.526148751,0.688479675
